"idRam";"capacidadeRam";"espacoLivreRam";"espacoUsadoRam";"dataColetaDadosRam";"fkServidor";"fkSetor"
116;8;0.94;6.79;"2022-09-27 00:00:00";1;1
117;8;1.12;6.61;"2022-09-27 00:00:00";1;1
118;8;1.11;6.62;"2022-09-27 00:00:00";1;1
119;8;1.12;6.61;"2022-09-27 00:00:00";1;1
120;8;1.11;6.62;"2022-09-27 00:00:00";1;1
121;8;1.11;6.62;"2022-09-27 00:00:00";1;1
122;8;1.1;6.63;"2022-09-27 00:00:00";1;1
123;8;1.1;6.63;"2022-09-27 00:00:00";1;1
124;8;1.1;6.63;"2022-09-27 00:00:00";1;1
125;8;1.1;6.63;"2022-09-27 00:00:00";1;1
126;8;1.11;6.62;"2022-09-27 00:00:00";1;1
127;8;1.09;6.64;"2022-09-27 00:00:00";1;1
128;8;1.08;6.65;"2022-09-27 00:00:00";1;1
129;8;1.07;6.66;"2022-09-27 00:00:00";1;1
130;8;1.06;6.67;"2022-09-27 00:00:00";1;1
131;8;1.04;6.69;"2022-09-27 00:00:00";1;1
132;8;1.11;6.62;"2022-09-27 00:00:00";1;1
133;8;1.12;6.61;"2022-09-27 00:00:00";1;1
134;8;1.11;6.62;"2022-09-27 00:00:00";1;1
135;8;1.11;6.62;"2022-09-27 00:00:00";1;1
136;8;1.11;6.62;"2022-09-27 00:00:00";1;1
137;8;1.11;6.62;"2022-09-27 00:00:00";1;1
138;8;1.13;6.6;"2022-09-27 00:00:00";1;1
139;8;1.12;6.61;"2022-09-27 00:00:00";1;1
140;8;1.12;6.61;"2022-09-27 00:00:00";1;1
141;8;1.12;6.61;"2022-09-27 00:00:00";1;1
142;8;1.12;6.61;"2022-09-27 00:00:00";1;1
143;8;1.18;6.55;"2022-09-27 00:00:00";1;1
144;8;1.19;6.54;"2022-09-27 00:00:00";1;1
145;8;1.17;6.56;"2022-09-27 00:00:00";1;1
146;8;1.18;6.55;"2022-09-27 00:00:00";1;1
147;8;1.17;6.56;"2022-09-27 00:00:00";1;1
148;8;1.16;6.57;"2022-09-27 00:00:00";1;1
149;8;1.15;6.58;"2022-09-27 00:00:00";1;1
150;8;1.14;6.59;"2022-09-27 00:00:00";1;1
151;8;1.13;6.6;"2022-09-27 00:00:00";1;1
152;8;1.18;6.55;"2022-09-27 00:00:00";1;1
153;8;1.18;6.55;"2022-09-27 00:00:00";1;1
154;8;1.18;6.55;"2022-09-27 00:00:00";1;1
155;8;1.18;6.55;"2022-09-27 00:00:00";1;1
156;8;1.18;6.55;"2022-09-27 00:00:00";1;1
157;8;1.17;6.56;"2022-09-27 00:00:00";1;1
158;8;1.18;6.55;"2022-09-27 00:00:00";1;1
159;8;1.17;6.56;"2022-09-27 00:00:00";1;1
160;8;1.17;6.56;"2022-09-27 00:00:00";1;1
162;8;0.97;6.76;"2022-09-27 00:00:00";1;1
163;8;0.95;6.78;"2022-09-27 00:00:00";1;1
164;8;0.95;6.77;"2022-09-27 00:00:00";1;1
165;8;0.96;6.76;"2022-09-27 00:00:00";1;1
166;8;0.97;6.76;"2022-09-27 00:00:00";1;1
167;8;0.96;6.77;"2022-09-27 00:00:00";1;1
168;8;0.97;6.76;"2022-09-27 00:00:00";1;1
169;8;0.97;6.76;"2022-09-27 00:00:00";1;1
170;8;0.97;6.76;"2022-09-27 00:00:00";1;1
171;8;1.1;6.63;"2022-09-27 00:00:00";1;1
172;8;1.1;6.63;"2022-09-27 00:00:00";1;1
173;8;1.09;6.64;"2022-09-27 00:00:00";1;1
174;8;1.09;6.64;"2022-09-27 00:00:00";1;1
175;8;1.09;6.64;"2022-09-27 00:00:00";1;1
176;8;1.08;6.65;"2022-09-27 00:00:00";1;1
177;8;1.09;6.64;"2022-09-27 00:00:00";1;1
178;8;1.09;6.64;"2022-09-27 00:00:00";1;1
179;8;1.08;6.65;"2022-09-27 00:00:00";1;1
180;8;1.09;6.64;"2022-09-27 00:00:00";1;1
181;8;1.09;6.64;"2022-09-27 00:00:00";1;1
182;8;1.08;6.65;"2022-09-27 00:00:00";1;1
183;8;1.08;6.65;"2022-09-27 00:00:00";1;1
184;8;1.1;6.63;"2022-09-27 00:00:00";1;1
185;8;1.09;6.64;"2022-09-27 00:00:00";1;1
186;8;1.08;6.65;"2022-09-27 00:00:00";1;1
187;8;1.08;6.65;"2022-09-27 00:00:00";1;1
188;8;1.09;6.64;"2022-09-27 00:00:00";1;1
189;8;1.09;6.64;"2022-09-27 00:00:00";1;1
190;8;1.09;6.64;"2022-09-27 00:00:00";1;1
191;8;0.9;6.83;"2022-09-27 00:00:00";1;1
192;8;1.02;6.71;"2022-09-27 00:00:00";1;1
197;8;1.07;6.66;"2022-09-27 00:00:00";1;1
198;8;1.07;6.66;"2022-09-27 00:00:00";1;1
199;8;1.06;6.67;"2022-09-27 00:00:00";1;1
200;8;1.07;6.66;"2022-09-27 00:00:00";1;1
201;8;1.09;6.64;"2022-09-27 00:00:00";1;1
202;8;1.09;6.64;"2022-09-27 00:00:00";1;1
